nso,nna,ndo,fso,fna,fdo,lso,lna,ldo,ncost,fcost,lcost,nlimit,export1,export2,pstar
33.21069814796487,23.624490629930108,33.6809712416622,9.774012679837511e-06,0.000957811265628819,3.7719006743009765e-05,1.1077782004224697e-06,3.395560559314898e-05,2.8913976225347802e-05,22.89798196345632,1.0962863671234264,8.804534351322019,22.0,35.46536740908501,12688.24180691874,0.013962575197820022
33.209517813317184,23.597668594268697,33.681189204790115,9.90463333132845e-06,0.0009603466621378501,4.0550750310373534e-05,1.2928899189360972e-06,3.743741177667714e-05,3.182160105277978e-05,22.85334039489726,1.096273212735712,8.80451532570352,22.0,35.938834299502346,12721.53317405772,0.014004000529941453
33.20820203320543,23.568087382317344,33.68142961505714,1.005878945847262e-05,0.0009631532755088745,4.367708890030546e-05,1.5119273262621083e-06,4.1291839116669996e-05,3.503118584608488e-05,22.804152583713567,1.0962586286676268,8.804494215708345,22.0,36.49761974422567,12758.382764332595,0.014050103788948292
33.20673316149307,23.535446734917684,33.681694920934824,1.0241138989540196e-05,0.0009662610282881713,4.7130690913781575e-05,1.7716622226875414e-06,4.5560084902176073e-05,3.85761182201489e-05,22.749933646872897,1.096242451825211,8.804470779728673,22.0,37.158619842455,12799.182304050475,0.014101480360673168
33.20509083645072,23.499410082952668,33.681987868741025,1.0457345866618386e-05,0.0009697030869245384,5.094827221451452e-05,2.080335263761033e-06,5.028781599327718e-05,4.249390584152961e-05,22.690142185263596,1.096224500009745,8.804444747024057,22.0,37.942381178828725,12844.365853246136,0.014158814917598593
33.203251490296,23.459599374476497,33.6823115423961,1.0714304090281785e-05,0.0009735162411956805,5.5171186865337356e-05,2.4479844410380706e-06,5.55256857705919e-05,4.6826775118207095e-05,22.62417269586768,1.0962045693783515,8.804415813715032,22.0,38.873913030321866,12894.414752423516,0.014222897127980558
33.201187769078416,23.415589022278624,33.68266941749447,1.1020408992306776e-05,0.0009777413786612103,5.9846122616847424e-05,2.886842953161565e-06,6.132997938382292e-05,5.1622375584642185e-05,22.55134681555964,1.0961824313028155,8.804383637845197,22.0,39.983670564576734,12949.863812686604,0.014294640440997035
33.198867826322214,23.366898773783582,33.683065416254294,1.1385886112851078e-05,0.0009824240859418723,6.502592351967124e-05,3.4118215944729746e-06,6.776343123217087e-05,5.6934612486211625e-05,22.470903132614982,1.0961578284425666,8.804347833230533,22.0,41.308746659685916,13011.309162223319,0.014375104639330862
33.19625447477312,23.31298528377971,33.68350397746405,1.182319138959723e-05,0.0009876154086847632,7.077056763724304e-05,4.041095623955817e-06,7.48962590512497e-05,6.282463572647548e-05,22.381985329421155,1.0961304698374768,8.804307961792121,22.0,42.89432206413635,13079.418160346017,0.014465523035160282
33.193304158765734,23.253232093031937,33.68399014219971,1.2347500768098663e-05,0.0009933728001571235,7.714833508460462e-05,4.796822486815744e-06,8.28074565189195e-05,6.936202066376301e-05,22.28362830985376,1.0961000248220576,8.804263524054003,22.0,44.795439562597835,13154.941762897572,0.014567335442223685
33.1899656915707,23.18693762525606,33.684529648867596,1.2977312960399955e-05,0.0009997612872443132,8.423721107092398e-05,5.706024954991864e-06,9.158638457986296e-05,7.662618578788191e-05,22.174741855312174,1.096066115551318,8.804213947461985,22.0,47.07918813569874,13238.729705834703,0.014682228383542576
33.18617871307852,23.11330073130474,33.68512905609966,1.373519614442413e-05,0.001006854885468732,9.212658104760604e-05,6.801684559077688e-06,0.00010133470521026914,8.470810483937725e-05,22.05409131762703,1.0960283078936277,8.804158572118572,22.0,49.82740863197351,13331.748909732725,0.014812184397162153
33.181871774049085,23.031403136382632,33.68579588100478,1.4648718336064786e-05,0.001014738304181102,0.00010091929152584527,8.124103206524489e-06,0.00011216871388599954,9.371238752030358e-05,21.920274628330205,1.0959861003732874,8.804096633412586,22.0,53.140064747430024,13435.105631391116,0.01495954285111166
33.17695997365146,22.940188002055056,33.68653878462327,1.5751612711076346e-05,0.0010235090008485338,0.00011073417212641237,9.722607662536112e-06,0.00012422215082931372,0.00010375982509462914,21.77169486272734,1.095938910725473,8.804027240833685,22.0,57.13946477433024,13550.072118981492,0.015127075364727407
33.17134199282005,22.838433509459474,33.687367784144506,1.7085244447652275e-05,0.0010332796700577372,0.0001217091440982317,1.1657693747985635e-05,0.00013764960721951991,0.00011499052704182976,21.6065272234987,1.095886059452144,8.803949351990036,22.0,61.9755747558782,13678.118872180372,0.015318079899592014
33.16489637464128,22.724720077254133,33.68829452361768,1.870046638461782e-05,0.0010441812892218298,0.00013400508098488276,1.4003737098140162e-05,0.00015263069201343547,0.00012756781562573506,21.422679180274866,1.0958267495306095,8.803861740476544,22.0,67.83273841829913,13820.954077273998,0.015536498845599675
33.15747682430086,22.597389333042734,33.689332616093594,2.065997936702594e-05,0.001056366891008837,0.00014781064285864843,1.6852438608535058e-05,0.00016937519048918143,0.00014168310133121865,21.217742079972343,1.0957600411099955,8.803762955743222,22.0,74.93822224848465,13980.57240401065,0.015787068205045607
33.148906218233435,22.454492292732002,33.69049807085612,2.3041353097588384e-05,0.0010700162964872334,0.00016334838330702087,2.0317230321866602e-05,0.0001881295328574961,0.0001575620403701984,20.988932069508643,1.0956848196036832,8.803651272439042,22.0,83.57314795942915,14159.316170346141,0.016075507446748048
33.13896890768288,22.293723275363366,33.69180983305302,2.5940919843923086e-05,0.0010853421305352386,0.0001808825382720777,2.4538948967719277e-05,0.00020918501056615654,0.00017547238604540824,20.733017595235783,1.0955997549956547,8.803524625773177,22.0,94.086578021326,14359.953000134288,0.016408763082468084
