nso,nna,ndo,fso,fna,fdo,lso,lna,ldo,ncost,fcost,lcost,nlimit,export1,export2,pstar
33.216,23.631999999999998,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.917215007783224,1.0961204067537684,8.804717530398001,22.0,0.00156827518848,0.56179141664256,0.013999999999999999
33.216,23.6,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.865847259722663,1.0961204067537684,8.804717530398001,22.0,0.001589217993792,0.5632654270688641,0.013999999999999999
33.216,23.568,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.814559082963843,1.0961204067537684,8.804717530398001,22.0,0.001613968581888,0.5648970177152641,0.013999999999999999
33.2,23.535999999999998,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.7416292740929,1.0961204067537684,8.804717530398001,22.0,0.001643235377472,0.5667034564339201,0.013999999999999999
33.2,23.504,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.690500239937585,1.0961204067537684,8.804717530398001,22.0,0.001677948187968,0.568704047798016,0.013999999999999999
33.2,23.456,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.613955884895383,1.0961204067537684,8.804717530398001,22.0,0.0017191696504320001,0.5709200445486721,0.013999999999999999
33.2,23.408,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.537590565282116,1.0961204067537684,8.804717530398001,22.0,0.0017683166142720003,0.573375134636928,0.013999999999999999
33.2,23.36,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.461404281097785,1.0961204067537684,8.804717530398001,22.0,0.0018269830350720003,0.5760957068830079,0.013999999999999999
33.2,23.311999999999998,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.38539703234239,1.0961204067537684,8.804717530398001,22.0,0.0018971613573120002,0.5791113380183041,0.013999999999999999
33.2,23.248,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.284332533557986,1.0961204067537684,8.804717530398001,22.0,0.001981331067456,0.5824552797273601,0.015
33.184,23.184,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.16190275192985,1.0961204067537684,8.804717530398001,22.0,0.002082458693952,0.5861651227960321,0.015
33.184,23.12,33.68,0.0,0.001,0.0,0.0,0.0,0.0,22.061474823559436,1.0961204067537684,8.804717530398001,22.0,0.0022041306368640002,0.590283682642368,0.015
33.184,23.024,33.68,0.0,0.001,0.0,0.0,0.0,0.0,21.91142971576694,1.0961204067537684,8.804717530398001,22.0,0.0023507745505920003,0.5948599291240321,0.015
33.184,22.944000000000003,33.68,0.0,0.001,0.0,0.0,0.0,0.0,21.786939178639383,1.0961204067537684,8.804717530398001,22.0,0.0025278807265920003,0.59995027055808,0.015
33.168,22.831999999999997,33.68,0.0,0.001,0.0,0.0,0.0,0.0,21.59184199264159,1.0961204067537684,8.804717530398001,22.0,0.0027413822217600002,0.6056197049111041,0.015
33.168,22.72,33.696,0.0,0.001,0.0,0.0,0.0,0.0,21.419866084518755,1.0961204067537684,8.804717530398001,22.0,0.0029980533473280002,0.6119438122437121,0.016
33.152,22.592,33.696,0.0,0.001,0.0,0.0,0.0,0.0,21.20233535116196,1.0961204067537684,8.804717530398001,22.0,0.003309273175104,0.6190109685377281,0.016
33.152,22.448,33.696,0.0,0.001,0.0,0.0,0.0,0.0,20.983444411771483,1.0961204067537684,8.804717530398001,22.0,0.0036877490732160003,0.6269249137357441,0.016
33.135999999999996,22.288,33.696,0.0,0.001,0.0,0.0,0.0,0.0,20.720551413348442,1.0961204067537684,8.804717530398001,22.0,0.004148845002432,0.635808161035008,0.016
33.12,22.112,33.696,0.0,0.001,0.0,0.0,0.0,0.0,20.435861437980392,1.0961204067537684,8.804717530398001,22.0,0.004609365336576,0.645806114606016,0.017
